name,latitude,longitude
Utud,10.7897,124.9373
Uto Point,12.25694,124.1
Utod,14.1229,120.6493
Utod,10.68333,124.78333
Utip River,17.25,120.68333
Utara Point,7.37583,124.07722
Utap,11.21472,124.97389
Utak,10.31667,123.91667
Utabe Bay,12.63333,123.9
Uta,17.5288,121.2103
Ususan,14.5339,121.0739
Usulan River,15.66667,121.21667
Usucan,8.63972,123.68722
Usugan Creek,8.007,123.6019
Usugan River,8.0755,123.5425
Usucan Shoal,8.6442,123.6994
Usucan Point,8.6424,123.6843
Usoy Creek,8.4615,123.3964
Uson Uson,12.2244,123.833
Uson River,12.5332,123.2483
Uson River,11.55,124.6
Uson Point,11.4765,124.4096
Uson-Padlos,13.7,123.06667
Uson Islands,11.3651,124.9786
Uson Island,11.9817,120.1687
Uson Bay,12.2153,123.78
Port Uson,12.0007,120.1508
Uson,13.3,123.78333
Uson,12.2253,123.7834
Uson,11.54472,124.61833
Uson,11.4775,124.4057
Uson,12.18333,123.75
Usol,16.5312,121.7554
Malawis Island,14.9278,122.178
Uso,16.9706,120.5435
Usmad,9.91154,123.55433
Usllya River,13.95,121.8
Usllya,13.9645,121.8041
Usiw,13.71236,120.22362
Mount Usigan,11.6287,122.1387
Usang,12.3,125.16667
Usad,6.1279,120.5389
Usada Island,6.12861,120.54234
Usa Creek,15.26667,121.38333
Usab River,12.353,123.5874
Usab,12.32974,123.58091
Urzadan,17.13333,120.66667
Ursula Island,8.34051,117.51676
Ursuban,16.9006,120.5027
Uroya,11.32028,125.13028
Mount Urot,5.98001,121.26037
Urdaneta,14.1781,120.7426
Urdaneta Harbor,12.55,124.35
Urdaneta,15.97611,120.57111
Urdaneta,12.5367,124.3558
City of Urdaneta,15.97944,120.59101
Urbiztondo,15.8227,120.3295
Urbistondo,9.54833,125.77917
Urbiztondo,15.81667,120.35
Urbistondo,16.66417,120.33083
Uray Vanoa Rocks,11.896,124.6181
Urayong,16.4684,120.3343
Urayong,16.4609,120.3365
Upuplig,18.452,120.6162
Up-uplas,16.8804,120.5117
Upper Tupilac,7.63338,122.42606
Upper Tawagan,7.85,123.51667
Upper San Mateo,7.17306,124.58222
Upper Sabob,6.73722,125.27
Upper Noling,6.6521,124.10719
Upper Matina,7.15,125.5
Upper Malalag,6.06667,124.49639
Upper Klinan,6.22722,125.12083
Upper Katungal,6.68089,124.65722
Kalandagan,6.67899,124.72687
Upper Inas,6.96972,124.85556
Upper Digos,6.76472,125.32861
Daromawang,7.97783,123.69466
Upper Buayan,7.27778,124.55
Upper Baguio,7.17806,125.39194
Upper Alip,6.73611,124.94722
Upon,17.9604,120.5411
Upig,15.02551,120.99193
Upi-Dorongotan,7,124.18333
